,geoid,name,latitude,longitude,area,whole,not.hispanic,white,white.perc,black,black.perc,indian,indian.perc,asian,asian.perc,hispanic,hispanic.perc,educated,perc,vegan,number
31,86000US90033,90033,34.0503,-118.2117,Aliso Village,48277,4217,1183,0.024504422,536,0.011102595,72,0.001491393,2332,0.048304576,44060,0.912649916,2287,0.082545297,1,7
32,86000US90034,90034,34.0325,-118.3959,Palms,58069,41328,22828,0.393118531,4860,0.083693537,84,0.001446555,10515,0.181077683,16741,0.288294959,22522,0.518414511,1,20
33,86000US90035,90035,34.0508,-118.3842,Pico Robertson,30852,27646,21246,0.688642552,2478,0.080318942,77,0.002495786,2488,0.08064307,3206,0.103915467,13830,0.604960413,1,14
34,86000US90036,90036,34.0665,-118.352,LA brea,37640,34137,23985,0.637221041,1325,0.035201913,83,0.002205101,6889,0.183023379,3503,0.093065887,18774,0.652781641,1,9
35,86000US90037,90037,34.0021,-118.2819,Vermont,62872,14922,994,0.015809899,12598,0.200375366,36,0.000572592,544,0.0086525,47950,0.762660644,2341,0.064371546,0,0
36,86000US90038,90038,34.0895,-118.3316,Hollywood,28577,12376,8598,0.30087133,1491,0.052174826,9,0.000314939,1475,0.051614935,16201,0.56692445,5918,0.300406091,1,2
37,86000US90039,90039,34.1103,-118.2585,Atwater Village,28149,17463,10773,0.382713418,672,0.023872962,0,0,5037,0.178940637,10686,0.379622722,10022,0.458337144,1,8
38,86000US90040,90040,33.993,-118.1532,East LA,12699,756,248,0.019529097,130,0.010237027,59,0.004646035,229,0.018032916,11943,0.940467753,617,0.075807839,1,5
39,86000US90041,90041,34.1322,-118.2117,Eagle Rock,28796,17343,8595,0.298478955,346,0.012015558,9,0.000312543,7640,0.265314627,11453,0.397728851,8588,0.424706988,1,4
40,86000US90042,90042,34.1176,118.1883,Highland Park,62650,19346,8921,0.142394254,1643,0.02622506,101,0.001612131,7442,0.118786911,43304,0.691205108,11017,0.259834906,1,3
41,86000US90043,90043,33.9904,-118.3287,Windsor Hills,43129,30030,1598,0.037051636,26237,0.608337777,79,0.001831714,568,0.013169793,13099,0.303716757,6818,0.22677532,1,1
42,86000US90044,90044,33.9479,-118.2936,Harbor Gateway,88975,34340,960,0.010789548,31749,0.35683057,23,0.0002585,385,0.004327058,54635,0.61404889,4072,0.078009157,0,0
43,86000US90045,90045,33.9516,-118.3876,Westchester,41922,34309,20329,0.484924383,5738,0.136873241,110,0.002623921,5725,0.136563141,7613,0.18159916,14972,0.545646707,1,NA
44,86000US90046,90046,34.1147,-118.3637,West Hollywood,51651,45508,38053,0.736733074,2121,0.041064065,67,0.001297168,2880,0.055758843,6143,0.118932838,26566,0.60314217,1,NA
45,86000US90047,90047,33.9519,-118.3082,Westmont,48678,33541,601,0.01234644,31636,0.649903447,19,0.00039032,243,0.004991988,15137,0.310961831,4622,0.146856035,0,0
46,86000US90048,90048,34.0742,-118.3725,Beverly Grove,22498,20830,17118,0.760867633,566,0.025157792,61,0.002711352,2219,0.098630989,1668,0.074139924,12208,0.662757872,1,1
47,86000US90049,90049,34.0963,-118.4981,Brentwood,35427,33197,28196,0.79589014,492,0.013887713,17,0.00047986,3222,0.090947582,2230,0.06294634,21128,0.781765707,1,1
48,86000US90056,90056,33.9886,-118.3666,Ladera Heights,8537,8177,983,0.115145836,6436,0.753894811,0,0,361,0.042286518,360,0.04216938,3232,0.515799553,0,0
49,86000US90057,90057,34.0617,-118.279,Westlake,46509,14924,2480,0.053323013,2252,0.048420736,35,0.000752543,9817,0.211077426,31585,0.67911587,5677,0.180382562,1,1
50,86000US90058,90058,34.0064,-118.2234,vernon,2680,509,73,0.027238806,218,0.081343284,0,0,218,0.081343284,2171,0.810074627,109,0.078080229,0,0
51,86000US90059,90059,33.9288,-118.2468,Imperial Courts,44648,15226,431,0.009653288,14045,0.314571761,19,0.000425551,291,0.006517649,29422,0.658976886,1466,0.063372671,0,0
52,86000US90061,90061,33.9196,-118.2731,Athens,28135,10036,269,0.009561045,9502,0.337728808,18,0.000639773,62,0.002203661,18099,0.643291274,1246,0.079815515,0,0
53,86000US90062,90062,34.0032,-118.3082,Vernon,33353,12754,321,0.009624322,11041,0.33103469,0,0,407,0.0122028,20599,0.617605613,1679,0.079505635,0,0
54,86000US90063,90063,34.044,-118.1854,City Terrace,53813,1681,639,0.011874454,172,0.003196254,14,0.00026016,575,0.01068515,52132,0.968762195,2001,0.063152911,0,0
55,86000US90064,90064,34.0387,-118.4222,Cheviot Hills,26384,22910,16194,0.613781079,827,0.031344754,10,0.000379018,4827,0.182951789,3474,0.13167071,12369,0.647489923,1,1
56,86000US90065,90065,34.1089,-118.2234,Northeast LA,46904,17897,8700,0.185485246,793,0.016906874,9,0.000191881,7385,0.157449258,29007,0.618433396,9494,0.291925466,0,0
57,86000US90066,90066,34.005,-118.4338,Mar Vista,59124,40772,27026,0.457107097,2481,0.041962655,145,0.002452473,8372,0.141600704,18352,0.310398485,22010,0.500693828,1,1
58,86000US90067,90067,34.0571,-118.4148,Santa Monica Bvld,2330,2314,1770,0.759656652,0,0,0,0,488,0.20944206,16,0.006866953,1226,0.607231303,1,1
59,86000US90068,90068,34.1235,-118.3287,Hollywood Sign,21233,19136,15576,0.733575095,961,0.045259737,53,0.002496115,1487,0.070032497,2097,0.098761362,11807,0.665971008,1,1
60,86000US90069,90069,34.0932,-118.3783,Sunset Strip,20132,17324,14420,0.716272601,860,0.042718061,22,0.001092788,1033,0.051311345,2808,0.139479436,11746,0.644923955,1,1
62,86000US90073,90073,34.0523,-118.4521,Greater LA,862,712,267,0.30974478,350,0.406032483,0,0,65,0.075406032,150,0.174013921,50,0.060168472,0,0
63,86000US90077,90077,34.1015,-118.4572,Bel Air,8844,8271,7009,0.792514699,212,0.023971054,0,0,757,0.085594754,573,0.064789688,4762,0.757074722,0,0
65,86000US90089,90089,34.022,-118.2892,USC,3334,3007,1495,0.448410318,129,0.038692262,6,0.00179964,1130,0.338932214,327,0.098080384,31,0.58490566,1,1
67,86000US90094,90094,33.9745,-118.4178,Alsace,6858,6194,2970,0.433070866,970,0.141440653,0,0,1969,0.287109945,664,0.096821231,3852,0.799501868,0,0
